date,area
2017/1/1,613.3046254
2017/1/2,616.6017082
2017/1/3,616.1120391
2017/1/4,617.2576542
2017/1/5,615.2314735
2017/1/6,615.8066156
2017/1/7,616.7285362
2017/1/8,617.0021434
2017/1/9,615.8777414
2017/1/10,618.316002
2017/1/11,615.3371312
2017/1/12,616.0896301
2017/1/13,617.7873275
2017/1/14,617.4660486
2017/1/15,616.578248
2017/1/16,620.6072573
2017/1/17,617.9191551
2017/1/18,620.6409955
2017/1/19,622.6337001
2017/1/20,620.3601926
2017/1/21,622.4832112
2017/1/22,620.9247362
2017/1/23,623.077219
2017/1/24,621.4164398
2017/1/25,622.7648367
2017/1/26,624.2437262
2017/1/27,626.1284798
2017/1/28,625.1324536
2017/1/29,625.7569128
2017/1/30,627.3409487
2017/1/31,626.1330009
2017/2/1,625.3927261
2017/2/2,626.3201185
2017/2/3,626.8162329
2017/2/4,625.6179302
2017/2/5,624.879031
2017/2/6,624.8006561
2017/2/7,626.7634014
2017/2/8,624.2546415
2017/2/9,628.0301484
2017/2/10,626.1994167
2017/2/11,627.1030739
2017/2/12,627.3900341
2017/2/13,625.2898537
2017/2/14,627.0627999
2017/2/15,627.4708929
2017/2/16,626.6289181
2017/2/17,627.1757806
2017/2/18,625.8139388
2017/2/19,627.1733628
2017/2/20,630.1287545
2017/2/21,628.2131088
2017/2/22,627.1829807
2017/2/23,626.9153592
2017/2/24,626.7113545
2017/2/25,627.2303038
2017/2/26,627.6293293
2017/2/27,628.4479405
2017/2/28,627.5606935
2017/3/1,626.7452846
2017/3/2,626.88877
2017/3/3,625.2442347
2017/3/4,626.8959477
2017/3/5,625.7568067
2017/3/6,624.2167074
2017/3/7,627.840643
2017/3/8,625.7457261
2017/3/9,626.7699295
2017/3/10,627.1959639
2017/3/11,625.2126646
2017/3/12,625.5036742
2017/3/13,628.2258786
2017/3/14,626.9125734
2017/3/15,625.0228031
2017/3/16,623.501336
2017/3/17,627.3198852
2017/3/18,628.7814607
2017/3/19,627.3380969
2017/3/20,625.8583226
2017/3/21,626.0077432
2017/3/22,627.7239303
2017/3/23,625.7153972
2017/3/24,625.8628127
2017/3/25,628.2870217
2017/3/26,626.1376744
2017/3/27,627.7748252
2017/3/28,623.4854407
2017/3/29,626.1448247
2017/3/30,627.0728647
2017/3/31,623.2120367
2017/4/1,626.5640722
2017/4/2,628.2226493
2017/4/3,624.3106382
2017/4/4,626.7953546
2017/4/5,627.0008066
2017/4/6,625.6719919
2017/4/7,627.1804014
2017/4/8,626.9499964
2017/4/9,625.6309791
2017/4/10,625.5825481
2017/4/11,628.2449467
2017/4/12,626.2347857
2017/4/13,626.1469909
2017/4/14,625.665055
2017/4/15,622.278702
2017/4/16,627.325314
2017/4/17,623.2227742
2017/4/18,622.7019615
2017/4/19,622.6274496
2017/4/20,624.7624894
2017/4/21,624.8218842
2017/4/22,625.735328
2017/4/23,624.2991495
2017/4/24,623.2801489
2017/4/25,624.7436279
2017/4/26,623.3936595
2017/4/27,622.2884225
2017/4/28,623.8441739
2017/4/29,622.3541215
2017/4/30,624.4493604
2017/5/1,620.6455064
2017/5/2,622.095664
2017/5/3,622.3796592
2017/5/4,620.6472003
2017/5/5,622.1590445
2017/5/6,623.3269192
2017/5/7,620.1995699
2017/5/8,622.5341326
2017/5/9,623.0831983
2017/5/10,619.0047801
2017/5/11,619.2109835
2017/5/12,619.617832
2017/5/13,619.7469626
2017/5/14,621.5535143
2017/5/15,620.9192846
2017/5/16,619.2792062
2017/5/17,620.7184631
2017/5/18,617.2105571
2017/5/19,617.0444715
2017/5/20,621.6607269
2017/5/21,619.6817631
2017/5/22,621.5512816
2017/5/23,620.8058739
2017/5/24,621.5106545
2017/5/25,618.2503071
2017/5/26,620.7105686
2017/5/27,620.8001349
2017/5/28,619.898302
2017/5/29,618.2514507
2017/5/30,618.4480892
2017/5/31,618.1685815
2017/6/1,618.2403583
2017/6/2,617.3335514
2017/6/3,620.162892
2017/6/4,617.8705973
2017/6/5,621.8744387
2017/6/6,618.5222642
2017/6/7,616.6136488
2017/6/8,619.4284419
2017/6/9,620.0600707
2017/6/10,620.0129132
2017/6/11,618.8606048
2017/6/12,619.7768824
2017/6/13,619.3966592
2017/6/14,618.9168662
2017/6/15,619.7357991
2017/6/16,621.797909
2017/6/17,619.7450688
2017/6/18,621.8640832
2017/6/19,619.3403622
2017/6/20,619.764164
2017/6/21,621.8901151
2017/6/22,620.9038818
2017/6/23,622.8876489
2017/6/24,622.0560354
2017/6/25,621.7271334
2017/6/26,620.4034644
2017/6/27,622.6838139
2017/6/28,620.5216954
2017/6/29,621.8602234
2017/6/30,621.7860371
2017/7/1,620.594847
2017/7/2,621.6303438
2017/7/3,619.6864527
2017/7/4,623.4111865
2017/7/5,622.0424175
2017/7/6,623.0746952
2017/7/7,623.570476
2017/7/8,619.3974074
2017/7/9,621.4499739
2017/7/10,621.2051143
2017/7/11,622.762693
2017/7/12,622.1067977
2017/7/13,622.032946
2017/7/14,620.5306693
2017/7/15,623.3873346
2017/7/16,623.519628
2017/7/17,623.1411412
2017/7/18,622.7381812
2017/7/19,624.0184673
2017/7/20,621.2091785
2017/7/21,621.8083313
2017/7/22,620.774637
2017/7/23,624.2671494
2017/7/24,623.3791742
2017/7/25,621.549035
2017/7/26,624.3464487
2017/7/27,620.1655796
2017/7/28,623.2615462
2017/7/29,621.6896371
2017/7/30,625.5157996
2017/7/31,624.538673
2017/8/1,622.7777781
2017/8/2,620.5456243
2017/8/3,624.5217299
2017/8/4,621.1018352
2017/8/5,625.013507
2017/8/6,620.6349754
2017/8/7,621.4511763
2017/8/8,621.3454503
2017/8/9,621.0873777
2017/8/10,622.0944091
2017/8/11,620.8426148
2017/8/12,620.3799845
2017/8/13,620.7008795
2017/8/14,620.0677754
2017/8/15,620.141832
2017/8/16,622.8526777
2017/8/17,621.5753716
2017/8/18,624.6685497
2017/8/19,619.9193403
2017/8/20,620.8426054
2017/8/21,624.0781931
2017/8/22,620.6325715
2017/8/23,620.0263501
2017/8/24,623.7236656
2017/8/25,623.5792749
2017/8/26,622.2137934
2017/8/27,625.0524889
2017/8/28,623.3579385
2017/8/29,624.1976094
2017/8/30,620.6527033
2017/8/31,622.6711412
2017/9/1,619.8724307
2017/9/2,621.1297593
2017/9/3,621.6874743
2017/9/4,622.1818371
2017/9/5,622.6301001
2017/9/6,623.6344136
2017/9/7,625.3772019
2017/9/8,622.7929509
2017/9/9,621.1262472
2017/9/10,623.985492
2017/9/11,624.0859641
2017/9/12,621.6339988
2017/9/13,624.5844187
2017/9/14,622.9350902
2017/9/15,624.9639134
2017/9/16,626.0551581
2017/9/17,622.9762983
2017/9/18,625.0410391
2017/9/19,627.7995479
2017/9/20,623.7857699
2017/9/21,624.7244749
2017/9/22,625.074544
2017/9/23,627.3885782
2017/9/24,626.375922
2017/9/25,626.9818703
2017/9/26,625.9014319
2017/9/27,626.107012
2017/9/28,624.1674409
2017/9/29,625.3884076
2017/9/30,627.3894154
2017/10/1,625.2659991
2017/10/2,627.3086317
2017/10/3,628.6154532
2017/10/4,623.6613316
2017/10/5,626.3210293
2017/10/6,626.0697016
2017/10/7,624.3583079
2017/10/8,627.5890614
2017/10/9,625.8797538
2017/10/10,626.548845
2017/10/11,624.9719342
2017/10/12,626.9349169
2017/10/13,625.8124302
2017/10/14,623.8844632
2017/10/15,627.033476
2017/10/16,626.6618009
2017/10/17,627.5910011
2017/10/18,623.5420284
2017/10/19,626.946457
2017/10/20,624.5217067
2017/10/21,625.0872483
2017/10/22,625.8358634
2017/10/23,622.5506298
2017/10/24,621.143444
2017/10/25,624.0390697
2017/10/26,621.4328883
2017/10/27,623.544062
2017/10/28,621.6385574
2017/10/29,622.5170274
2017/10/30,619.5284755
2017/10/31,622.772677
2017/11/1,623.5595533
2017/11/2,618.4820753
2017/11/3,619.4184617
2017/11/4,619.0165835
2017/11/5,622.2307486
2017/11/6,619.7583986
2017/11/7,619.5553752
2017/11/8,618.8859078
2017/11/9,620.3318746
2017/11/10,616.6538483
2017/11/11,617.5598628
2017/11/12,615.12653
2017/11/13,615.4588306
2017/11/14,615.7000488
2017/11/15,614.6497097
2017/11/16,617.9100771
2017/11/17,616.65116
2017/11/18,613.9855112
2017/11/19,615.3219152
2017/11/20,618.348614
2017/11/21,619.7982638
2017/11/22,617.2588254
2017/11/23,617.4539014
2017/11/24,614.5683134
2017/11/25,615.4986905
2017/11/26,618.0577416
2017/11/27,617.7605278
2017/11/28,615.4280579
2017/11/29,621.1682488
2017/11/30,620.762338
2017/12/1,619.041697
2017/12/2,619.1714638
2017/12/3,619.3878801
2017/12/4,621.1249095
2017/12/5,623.381512
2017/12/6,622.7017075
2017/12/7,621.5502471
2017/12/8,622.5969329
2017/12/9,624.3926699
2017/12/10,625.6578185
2017/12/11,628.4486287
2017/12/12,627.3838094
2017/12/13,628.3202401
2017/12/14,629.2850189
2017/12/15,629.8341821
2017/12/16,631.2127507
2017/12/17,630.3099268
2017/12/18,631.2545274
2017/12/19,629.6383426
2017/12/20,630.0369321
2017/12/21,627.2027538
2017/12/22,626.4830046
2017/12/23,622.8375981
2017/12/24,627.6804895
2017/12/25,630.3175054
2017/12/26,627.6918583
2017/12/27,631.1881334
2017/12/28,625.4030774
2017/12/29,628.4259762
2017/12/30,631.1802185
2017/12/31,626.5609228
